region,latitude,longitude,temperature,oxygen_level,humidity,wind_speed,pressure,rainfall,ffmc,dmc,dc,isi,bui,fwi,historical_frequency,risk_score,risk_category,fire_occurrence
Sierra Foothills,38.331,-120.4393,11.24,19.99,47.5,7.66,1026.99,0.21,72.5,4.8,105.7,11.08,8.7,1.31,0.48,23.5,LOW,0
Sierra Foothills,38.0862,-121.0603,21.77,20.13,61.76,17.81,1010.12,0.0,73.8,29.4,110.1,16.24,35.3,8.94,0.48,27.8,LOW,0
Cascades Valley,45.2364,-122.0018,30.16,20.49,14.93,5.64,1010.33,1.84,89.9,13.1,604.4,24.74,24.9,14.78,0.18,37.5,MEDIUM,0
Sierra Foothills,38.7277,-120.7494,23.27,20.65,29.24,10.72,1015.6,0.0,91.7,42.8,471.2,32.39,69.7,80.0,0.48,65.2,HIGH,1
Sierra Foothills,38.4795,-121.0697,22.02,20.99,54.98,7.36,1013.22,0.86,78.1,51.0,268.2,14.53,69.2,14.79,0.48,27.4,LOW,0
Pacific Coast Ridge,37.8898,-122.7097,33.57,19.28,92.67,17.82,1021.19,0.0,71.3,22.7,318.9,14.31,38.5,8.06,0.35,46.2,MEDIUM,0
Northern Boreal,48.4798,-122.962,30.22,22.54,23.61,12.45,996.68,0.0,98.6,108.5,340.8,40.0,120.9,80.0,0.22,68.3,HIGH,1
Cascades Valley,45.9005,-121.2344,23.42,20.76,66.73,9.29,1010.82,0.0,69.7,13.6,294.8,10.21,24.4,3.39,0.18,21.4,LOW,0
Cascades Valley,45.8247,-121.5718,11.05,20.49,54.79,12.37,1017.95,0.0,67.8,12.8,361.7,10.26,23.5,3.27,0.18,23.4,LOW,0
Cascades Valley,45.8816,-121.6672,26.34,21.95,57.39,11.85,1000.43,0.64,75.1,43.6,154.0,14.56,51.0,10.95,0.18,24.6,LOW,0
Pacific Coast Ridge,37.9538,-122.5904,23.61,21.0,70.34,15.88,1043.27,6.17,46.7,63.4,538.6,3.92,97.9,7.24,0.35,0.0,LOW,0
Sierra Foothills,38.4844,-120.3785,23.84,21.35,58.79,18.32,1007.16,0.49,74.5,47.9,436.7,16.98,75.1,20.52,0.48,41.9,MEDIUM,0
Northern Boreal,49.6619,-122.5039,31.24,21.85,64.49,16.93,1009.82,2.04,74.1,65.0,286.0,16.08,82.9,20.7,0.22,22.7,LOW,0
High Desert Plateau,34.2956,-117.2137,26.47,21.83,65.8,15.46,1013.46,0.0,79.1,78.0,346.0,19.81,99.7,36.14,0.28,48.5,MEDIUM,0
Sierra Foothills,38.7511,-120.5144,26.04,21.35,60.94,15.49,1029.02,3.1,69.0,57.3,283.5,11.92,76.1,12.54,0.48,12.7,LOW,0
Pacific Coast Ridge,38.183,-122.1853,20.1,20.23,66.77,13.36,1012.06,0.0,69.7,81.0,144.4,11.63,67.4,10.79,0.35,20.4,LOW,0
Sierra Foothills,38.7782,-120.7413,48.0,21.81,51.39,7.65,1041.46,0.0,98.6,55.5,850.0,40.0,95.4,80.0,0.48,83.7,HIGH,1
Sierra Foothills,38.6438,-120.8201,30.55,20.36,13.64,14.93,1015.95,0.0,99.5,20.3,492.1,40.0,36.8,80.0,0.48,81.0,HIGH,1
Pacific Coast Ridge,38.0553,-122.4101,29.0,20.09,58.89,4.52,1009.62,0.0,75.2,56.1,376.5,11.27,81.7,12.61,0.35,36.0,MEDIUM,0
Cascades Valley,45.7218,-121.6425,15.19,20.95,34.29,12.91,998.17,0.0,80.3,52.0,237.6,19.57,67.2,23.79,0.18,48.3,MEDIUM,0
Cascades Valley,45.3415,-121.9343,30.81,19.97,51.56,11.63,1006.56,0.0,86.1,33.5,211.8,25.22,48.0,29.92,0.18,46.0,MEDIUM,0
Northern Boreal,49.4164,-122.8761,-5.0,21.24,40.73,10.9,1045.0,0.0,60.7,13.4,181.8,6.84,22.6,2.24,0.22,24.0,LOW,0
Northern Boreal,49.2749,-122.77,35.33,20.55,44.8,8.23,1018.39,0.0,89.7,58.1,472.0,26.94,88.8,65.67,0.22,66.2,HIGH,1
Cascades Valley,45.3707,-121.9121,33.03,19.9,69.66,14.37,1013.15,0.0,78.5,80.6,138.5,18.65,65.7,21.19,0.18,36.8,MEDIUM,0
High Desert Plateau,34.8018,-117.6085,24.24,21.24,83.08,11.81,1021.93,0.0,64.6,61.2,592.8,8.6,97.3,11.49,0.28,28.7,LOW,0
Sierra Foothills,38.2745,-120.4682,19.51,21.91,34.49,2.06,1006.7,0.33,80.4,13.5,252.9,13.16,23.9,4.45,0.48,20.0,LOW,0
High Desert Plateau,34.8042,-116.8271,21.88,21.4,42.15,12.7,1025.12,0.0,81.6,66.2,206.4,20.8,73.5,29.42,0.28,44.7,MEDIUM,0
Sierra Foothills,38.4817,-121.2064,18.6,21.66,37.06,11.29,1037.45,0.0,87.0,18.0,262.9,26.03,30.7,20.72,0.48,41.9,MEDIUM,0
Cascades Valley,45.4895,-121.4936,24.77,22.12,64.87,5.41,991.01,3.34,65.9,100.8,196.8,7.31,88.4,9.18,0.18,0.0,LOW,0
Northern Boreal,49.2037,-123.0607,28.34,21.32,63.82,4.57,1021.54,3.81,58.3,83.1,226.0,4.83,86.6,7.02,0.22,0.6,LOW,0
Northern Boreal,49.1974,-122.6326,24.18,20.33,38.61,7.64,1004.09,0.0,78.3,40.2,182.6,14.89,51.8,11.49,0.22,40.3,MEDIUM,0
High Desert Plateau,34.5033,-117.5166,16.24,21.05,23.18,14.86,1000.04,0.0,83.7,19.7,266.1,24.6,33.2,19.41,0.28,44.9,MEDIUM,0
Northern Boreal,49.1665,-123.0423,27.95,21.84,76.82,11.04,1026.39,0.0,71.5,27.6,404.1,11.85,47.2,7.72,0.22,28.1,LOW,0
Cascades Valley,45.3341,-121.8268,32.33,21.17,21.19,2.95,1035.42,2.58,83.8,21.3,375.4,16.32,37.3,9.55,0.18,32.5,MEDIUM,0
High Desert Plateau,34.6644,-117.4776,12.32,21.05,40.06,4.69,1023.01,0.32,77.2,68.2,289.0,12.55,85.8,15.04,0.28,31.0,MEDIUM,0
Sierra Foothills,39.1141,-120.7573,22.84,20.4,46.63,4.98,988.01,0.32,82.7,31.4,120.1,16.72,38.0,10.12,0.48,27.5,LOW,0
Northern Boreal,49.3676,-122.8741,27.83,21.09,5.0,15.07,1030.24,2.01,99.5,76.7,780.1,40.0,123.2,80.0,0.22,68.9,HIGH,1
Pacific Coast Ridge,37.9098,-122.4444,32.16,21.65,43.34,10.38,1012.36,0.0,94.0,67.7,805.5,36.01,111.9,80.0,0.35,72.4,HIGH,1
Northern Boreal,49.2873,-122.878,35.17,20.59,46.59,6.06,977.61,0.0,90.0,41.0,208.4,25.33,55.0,34.61,0.22,58.6,MEDIUM,0
Sierra Foothills,38.4255,-120.8353,33.0,19.85,27.8,11.33,999.88,0.44,95.1,48.8,241.1,39.29,64.8,80.0,0.48,74.9,HIGH,1
High Desert Plateau,34.4882,-116.9837,29.39,20.39,38.19,0.24,988.38,0.0,88.4,67.7,546.7,18.08,103.4,31.54,0.28,48.5,MEDIUM,0
Sierra Foothills,38.2854,-121.3521,21.77,22.08,54.52,14.85,1022.87,0.0,82.2,80.9,179.9,22.81,76.2,37.28,0.48,56.7,MEDIUM,0
Pacific Coast Ridge,38.2164,-122.8177,27.44,21.35,25.37,12.5,1010.36,0.93,91.5,78.6,120.4,33.91,59.7,80.0,0.35,53.8,MEDIUM,0
Cascades Valley,45.1973,-121.7037,33.35,21.36,48.44,12.02,1008.56,1.71,86.1,83.0,212.0,25.46,83.9,53.51,0.18,51.1,MEDIUM,0
Northern Boreal,49.064,-123.0713,31.36,19.52,58.17,2.14,990.5,0.23,79.0,59.9,213.3,12.34,70.4,12.09,0.22,40.2,MEDIUM,0
High Desert Plateau,34.1735,-117.1411,18.29,21.84,26.75,15.12,999.87,0.0,88.0,32.1,380.1,30.78,53.0,57.54,0.28,62.4,HIGH,1
Cascades Valley,45.9052,-121.4354,38.53,20.74,45.21,9.35,996.76,0.0,97.3,100.2,455.3,40.0,129.3,80.0,0.18,66.5,HIGH,1
Sierra Foothills,38.6636,-121.1995,17.62,20.29,60.26,24.19,994.5,0.0,73.1,41.1,374.3,18.28,64.5,20.07,0.48,37.8,MEDIUM,0
High Desert Plateau,34.6838,-117.3326,19.24,20.71,35.17,5.19,1003.88,0.13,83.2,69.5,35.4,17.34,23.6,6.67,0.28,24.8,LOW,0
Cascades Valley,45.8818,-121.4324,21.55,20.2,69.41,4.44,982.86,0.39,68.0,19.5,216.9,7.83,31.9,3.49,0.18,7.4,LOW,0
High Desert Plateau,34.7415,-117.0182,22.61,21.31,23.55,11.56,1002.78,0.0,94.6,20.9,400.4,38.64,36.9,80.0,0.28,67.4,HIGH,1
Pacific Coast Ridge,37.6753,-122.1526,22.72,20.96,61.59,9.64,1005.83,1.07,70.3,33.6,290.8,10.63,52.1,7.54,0.35,13.3,LOW,0
Pacific Coast Ridge,37.6781,-122.4877,8.88,19.73,45.52,4.66,1010.8,0.0,67.3,15.1,381.8,7.61,27.5,2.95,0.35,21.1,LOW,0
Northern Boreal,49.6904,-122.7899,18.1,20.54,36.75,9.07,1017.68,0.24,86.1,21.3,309.5,23.14,36.4,18.39,0.22,30.8,MEDIUM,0
Northern Boreal,48.7601,-122.6531,36.43,21.06,61.32,15.02,1026.45,0.0,93.6,55.4,393.5,40.0,81.9,80.0,0.22,64.1,HIGH,1
Pacific Coast Ridge,37.3953,-122.1011,37.91,19.75,30.7,3.7,1002.69,0.0,97.2,75.9,709.2,33.08,119.7,80.0,0.35,73.1,HIGH,1
High Desert Plateau,34.7292,-117.4137,23.27,20.02,42.25,13.25,997.96,0.22,83.3,91.8,82.1,22.99,48.4,24.09,0.28,39.7,MEDIUM,0
Pacific Coast Ridge,37.5636,-122.2357,24.54,21.67,65.79,7.72,1028.11,0.0,78.1,14.0,309.8,14.73,25.1,5.47,0.35,25.2,LOW,0
Northern Boreal,49.0973,-122.6893,18.78,20.48,56.31,11.64,1019.41,0.0,74.5,6.4,536.1,14.05,12.4,2.53,0.22,22.1,LOW,0
Pacific Coast Ridge,37.6467,-122.7375,21.8,21.11,44.32,17.21,1014.26,0.0,80.2,29.7,261.2,22.03,46.2,20.92,0.35,45.1,MEDIUM,0
Pacific Coast Ridge,37.4232,-122.1937,28.68,21.23,23.05,6.86,1020.76,1.15,96.2,89.3,359.1,35.64,110.1,80.0,0.35,60.8,HIGH,1
High Desert Plateau,34.5152,-117.3664,28.48,21.1,49.09,13.47,1023.91,4.04,76.4,48.3,101.4,16.33,44.1,11.29,0.28,11.6,LOW,0
Cascades Valley,45.3165,-121.8239,30.33,21.45,83.69,6.63,1007.07,0.0,67.2,39.0,355.6,8.2,61.3,6.96,0.18,25.2,LOW,0
Northern Boreal,49.4317,-123.1683,13.66,22.62,21.88,8.12,1021.8,0.25,88.4,28.1,465.1,25.11,48.9,30.12,0.22,51.0,MEDIUM,0
High Desert Plateau,34.5847,-117.0621,16.28,21.5,56.87,12.64,1020.8,0.0,75.3,68.2,288.9,15.07,85.8,19.36,0.28,38.1,MEDIUM,0
Pacific Coast Ridge,38.1024,-122.6302,17.68,20.51,54.85,4.68,1016.11,0.0,72.1,54.9,613.3,9.7,89.7,11.84,0.35,14.4,LOW,0
Pacific Coast Ridge,37.6293,-122.4174,10.19,21.29,74.12,5.67,1017.35,0.0,60.8,29.0,253.3,5.72,45.1,4.0,0.35,12.3,LOW,0
Cascades Valley,45.2725,-122.0145,20.36,21.41,72.04,3.95,994.75,0.0,69.4,29.3,139.8,8.24,38.5,4.39,0.18,14.8,LOW,0
Northern Boreal,49.2604,-122.9485,21.73,21.05,52.94,8.11,1034.29,0.21,77.2,10.5,112.9,14.32,17.0,3.56,0.22,24.2,LOW,0
Northern Boreal,49.2289,-123.1103,25.29,20.72,83.51,17.63,980.66,0.0,67.7,21.5,395.3,11.86,37.9,6.21,0.22,16.9,LOW,0
Sierra Foothills,38.5967,-121.1364,20.67,20.98,49.56,17.57,981.43,0.18,88.7,14.8,479.7,34.2,27.5,42.03,0.48,52.7,MEDIUM,0
Northern Boreal,49.0922,-122.6575,34.62,21.32,55.09,10.36,998.96,2.12,81.0,82.2,461.2,18.7,113.7,36.87,0.22,40.4,MEDIUM,0
Cascades Valley,45.6082,-121.4038,20.9,21.57,54.81,7.74,1025.56,0.0,81.1,37.8,597.2,17.21,65.3,18.23,0.18,34.8,MEDIUM,0
Sierra Foothills,38.2688,-120.8775,27.9,20.84,5.0,6.8,1016.74,0.0,99.5,13.9,169.4,40.0,23.0,62.85,0.48,81.8,HIGH,1
Sierra Foothills,38.606,-120.6662,31.87,22.03,23.58,12.24,1013.41,0.0,99.5,100.4,458.8,40.0,129.8,80.0,0.48,77.0,HIGH,1
Pacific Coast Ridge,37.5964,-122.0979,34.82,21.58,60.85,10.84,1035.3,1.95,77.1,78.2,472.7,15.64,110.6,26.44,0.35,39.0,MEDIUM,0
Pacific Coast Ridge,38.0905,-122.3858,26.2,20.84,69.02,16.63,1003.35,0.0,75.9,101.6,295.7,17.47,109.3,31.35,0.35,40.6,MEDIUM,0
Northern Boreal,49.2527,-122.634,19.53,20.34,43.21,7.16,1009.95,2.16,75.6,95.0,412.3,12.75,120.5,21.56,0.22,15.4,LOW,0
Sierra Foothills,38.1548,-120.6675,35.32,21.54,56.88,10.16,1009.23,0.0,87.9,77.7,179.8,26.34,74.7,52.05,0.48,66.8,HIGH,1
Pacific Coast Ridge,37.563,-121.9443,19.48,20.9,41.16,4.04,996.48,0.36,79.7,94.3,564.9,13.88,133.0,26.65,0.35,32.8,MEDIUM,0
Cascades Valley,45.1522,-121.8667,41.31,21.27,14.25,13.65,1021.64,0.0,99.5,95.0,574.4,40.0,134.5,80.0,0.18,90.4,CRITICAL,1
Pacific Coast Ridge,37.7624,-122.4614,19.83,20.37,51.31,3.05,1005.42,0.0,74.9,79.4,128.4,10.44,62.4,8.86,0.35,17.8,LOW,0
Pacific Coast Ridge,37.6554,-122.8057,32.5,22.08,73.53,10.74,1016.44,1.42,73.0,144.1,315.3,12.68,134.5,23.9,0.35,28.0,LOW,0
Sierra Foothills,38.2528,-120.6617,24.92,19.97,39.31,10.6,1024.1,0.0,89.7,62.9,298.6,29.29,82.4,77.14,0.48,61.2,HIGH,1
Sierra Foothills,38.6566,-121.4507,23.58,21.5,59.05,18.48,1003.09,0.07,74.7,24.2,247.4,17.25,38.9,10.92,0.48,30.6,MEDIUM,0
High Desert Plateau,34.7729,-117.1783,31.73,20.68,21.51,9.3,1033.33,0.0,99.2,54.9,247.5,40.0,70.7,80.0,0.28,73.9,HIGH,1
Cascades Valley,45.5371,-121.476,20.59,20.85,74.95,8.78,1013.74,1.16,60.7,120.2,484.1,6.37,148.3,14.03,0.18,16.0,LOW,0
Sierra Foothills,38.6506,-120.8839,35.42,21.28,59.77,18.41,1005.05,0.0,88.0,23.5,371.8,33.71,40.7,59.16,0.48,63.9,HIGH,1
Northern Boreal,49.0912,-123.0424,33.65,20.54,53.06,10.28,1041.62,1.44,81.2,108.5,403.7,18.83,129.8,42.66,0.22,43.9,MEDIUM,0
Cascades Valley,45.5193,-122.0055,25.43,20.53,68.98,15.39,1034.89,0.0,81.3,28.8,206.2,22.08,42.7,19.43,0.18,34.9,MEDIUM,0
Cascades Valley,45.8131,-121.6961,29.65,20.02,20.35,11.28,1014.44,0.0,99.1,180.0,432.0,40.0,150.0,80.0,0.18,68.1,HIGH,1
Sierra Foothills,38.681,-120.8532,41.8,21.41,87.24,10.01,1000.52,0.0,71.7,116.0,102.9,11.59,60.7,9.68,0.48,48.6,MEDIUM,0
Cascades Valley,45.5448,-121.5533,37.59,22.45,27.92,6.45,1009.93,0.0,98.3,35.2,850.0,38.99,63.8,80.0,0.18,76.9,HIGH,1
Sierra Foothills,38.1988,-121.1305,21.76,21.52,68.84,8.67,1023.07,0.0,64.4,50.4,440.4,7.67,78.4,8.44,0.48,22.4,LOW,0
Pacific Coast Ridge,38.2527,-122.5308,32.02,20.68,18.6,6.96,1014.13,1.75,95.4,52.2,813.3,34.39,90.0,80.0,0.35,61.2,HIGH,1
High Desert Plateau,34.5795,-117.3239,13.14,21.81,61.24,10.93,1038.38,0.0,70.1,57.2,206.7,10.98,67.6,10.13,0.28,22.7,LOW,0
Pacific Coast Ridge,37.8482,-122.3395,14.63,20.87,35.07,8.67,1015.71,0.79,73.8,70.8,90.7,12.3,48.0,8.21,0.35,24.3,LOW,0
Sierra Foothills,38.578,-121.3816,29.77,21.16,73.57,4.45,998.27,0.0,71.6,22.3,323.7,9.38,38.0,4.85,0.48,27.9,LOW,0
Sierra Foothills,38.5376,-121.0099,32.68,20.01,52.61,30.07,995.46,1.09,87.9,140.4,144.8,40.0,82.0,80.0,0.48,66.7,HIGH,1
Pacific Coast Ridge,38.129,-122.8791,24.72,20.32,69.58,10.86,991.36,0.0,76.4,78.3,672.3,15.08,121.2,27.4,0.35,39.2,MEDIUM,0
Northern Boreal,49.2227,-122.4445,24.4,21.18,39.51,2.57,1018.54,0.0,85.0,24.2,343.4,17.03,41.2,11.32,0.22,30.0,MEDIUM,0
Northern Boreal,49.2927,-122.1264,37.76,21.23,44.29,3.06,1009.93,0.0,89.7,46.1,756.1,21.98,80.0,36.03,0.22,68.0,HIGH,1
Northern Boreal,49.1204,-123.2458,28.85,21.85,57.58,7.9,1039.21,0.0,84.8,17.6,602.4,20.87,32.8,13.2,0.22,39.6,MEDIUM,0
Sierra Foothills,38.6709,-121.1086,16.11,19.18,56.44,5.14,1029.87,0.0,72.2,21.6,170.5,9.94,32.9,4.44,0.48,22.5,LOW,0
Cascades Valley,45.4878,-121.5652,29.67,21.22,41.2,11.36,1012.74,1.15,86.6,98.5,263.0,25.62,101.7,65.94,0.18,54.7,MEDIUM,0
Sierra Foothills,38.3444,-120.9672,37.69,20.61,57.08,6.55,1035.12,1.79,83.9,53.2,558.9,18.89,85.9,28.39,0.48,43.3,MEDIUM,0
Cascades Valley,45.8987,-122.1401,11.99,21.2,61.32,2.96,991.02,1.08,63.3,10.9,205.7,5.81,19.2,1.72,0.18,1.4,LOW,0
Pacific Coast Ridge,37.7146,-122.1609,24.71,20.99,74.68,14.94,1032.81,0.0,71.7,57.6,121.7,13.49,52.8,10.16,0.35,26.8,LOW,0
High Desert Plateau,34.7695,-117.2995,28.03,20.82,45.59,7.01,990.08,2.38,80.5,105.3,319.5,16.22,115.4,29.21,0.28,40.8,MEDIUM,0
Cascades Valley,45.6582,-121.3655,36.44,19.48,12.3,19.08,1005.68,0.01,99.5,61.3,850.0,40.0,103.8,80.0,0.18,85.1,CRITICAL,1
Northern Boreal,48.9785,-123.0277,48.0,20.98,24.99,11.02,1032.62,0.0,99.5,110.9,291.7,40.0,113.7,80.0,0.22,88.4,CRITICAL,1
Sierra Foothills,38.5648,-120.9715,40.29,20.17,41.62,8.33,1017.14,0.0,99.5,38.9,287.6,40.0,58.1,80.0,0.48,78.4,HIGH,1
Pacific Coast Ridge,37.6216,-122.0476,43.64,21.45,30.05,7.77,1025.68,0.0,99.5,75.6,730.2,40.0,120.1,80.0,0.35,88.9,CRITICAL,1
Northern Boreal,49.2128,-123.0586,27.01,20.75,27.82,18.25,1024.79,0.0,93.3,100.0,332.0,40.0,114.1,80.0,0.22,75.4,HIGH,1
Pacific Coast Ridge,37.3283,-122.1232,28.34,21.15,67.43,5.75,1011.98,0.54,78.8,40.6,430.9,14.21,65.7,13.62,0.35,27.4,LOW,0
High Desert Plateau,34.8653,-117.458,32.07,21.28,33.88,15.92,1000.09,0.0,96.7,86.7,562.8,40.0,125.1,80.0,0.28,69.8,HIGH,1
Sierra Foothills,38.5286,-121.2464,45.87,21.59,41.59,18.01,1001.09,3.68,95.0,41.4,235.3,40.0,57.5,80.0,0.48,61.1,HIGH,1
Sierra Foothills,38.6743,-121.2815,30.75,20.51,51.61,10.48,1019.93,0.0,90.1,50.1,256.0,29.74,67.3,65.88,0.48,58.3,MEDIUM,0
High Desert Plateau,34.7182,-116.9547,43.35,20.4,41.56,3.14,997.81,0.0,99.5,124.4,530.0,36.21,150.0,80.0,0.28,73.9,HIGH,1
Sierra Foothills,38.8625,-120.1502,21.65,21.18,72.18,14.89,1031.16,0.0,73.5,44.1,325.8,14.73,65.9,14.38,0.48,24.8,LOW,0
Cascades Valley,45.6273,-121.7614,22.27,20.58,67.4,4.69,998.99,0.0,78.8,25.7,283.1,13.65,41.9,8.19,0.18,16.2,LOW,0
Pacific Coast Ridge,37.6268,-122.2316,24.25,20.69,91.49,11.38,1008.76,0.83,62.1,91.8,574.7,7.47,131.2,13.85,0.35,23.2,LOW,0
Northern Boreal,49.1661,-123.078,25.37,20.98,62.84,3.79,1007.27,0.46,79.1,18.4,456.8,13.35,33.5,6.36,0.22,20.1,LOW,0
High Desert Plateau,34.7118,-116.9933,22.69,18.92,44.39,13.42,1015.5,0.0,81.0,12.3,522.8,20.64,23.2,9.14,0.28,36.2,MEDIUM,0
Cascades Valley,45.5661,-122.0099,28.24,20.35,75.78,11.78,1036.47,1.89,70.0,28.1,235.6,11.25,43.3,6.66,0.18,6.8,LOW,0
Northern Boreal,49.1007,-122.9886,36.03,21.97,40.75,19.06,1008.26,0.0,94.0,39.6,85.7,40.0,36.8,80.0,0.22,72.4,HIGH,1
Northern Boreal,49.0871,-123.4634,23.15,19.85,7.57,20.47,1026.96,0.0,99.5,108.5,377.1,40.0,126.2,80.0,0.22,79.2,HIGH,1
High Desert Plateau,34.0611,-117.4706,24.56,20.48,80.06,3.59,1029.77,2.98,54.3,30.8,695.2,3.79,55.4,4.05,0.28,0.0,LOW,0
Cascades Valley,45.4591,-121.213,29.07,19.53,37.93,6.89,1004.85,1.15,82.2,47.1,478.5,17.57,75.6,21.9,0.18,32.6,MEDIUM,0
Northern Boreal,49.0237,-122.94,34.3,20.93,77.58,3.06,1003.66,0.0,74.7,108.5,295.5,10.34,113.1,15.91,0.22,34.0,MEDIUM,0
Northern Boreal,49.074,-123.0307,15.27,21.09,58.12,5.89,989.57,0.0,68.8,31.9,227.1,8.62,47.2,5.58,0.22,16.0,LOW,0
Cascades Valley,45.4988,-121.5516,15.18,20.27,26.77,8.81,1023.23,0.0,82.8,55.3,266.9,19.45,72.8,25.46,0.18,47.4,MEDIUM,0
Sierra Foothills,38.4619,-121.131,19.81,20.8,79.95,15.72,1008.18,0.0,68.8,26.7,119.9,11.92,34.3,5.65,0.48,21.5,LOW,0
Northern Boreal,48.8233,-123.0751,36.91,19.23,47.37,6.18,990.12,1.69,88.1,106.3,417.8,23.07,130.0,65.26,0.22,51.1,MEDIUM,0
Pacific Coast Ridge,38.0482,-122.2209,21.84,20.25,11.52,10.59,994.33,2.1,91.1,69.2,358.7,31.33,93.3,80.0,0.35,45.1,MEDIUM,0
Cascades Valley,45.8022,-121.8746,18.02,21.41,22.58,14.18,997.24,2.3,81.2,81.0,324.9,21.23,99.8,41.7,0.18,45.5,MEDIUM,0
Northern Boreal,48.8382,-123.2782,26.72,20.27,36.63,8.09,1020.44,0.42,96.4,45.7,320.0,37.62,67.4,80.0,0.22,59.7,MEDIUM,0
High Desert Plateau,34.3945,-117.2506,37.6,20.28,53.78,8.41,1021.79,0.0,88.7,99.4,357.8,25.81,117.3,77.47,0.28,66.0,HIGH,1
Pacific Coast Ridge,38.0123,-122.7099,23.07,22.16,41.85,12.53,988.4,0.0,82.2,41.5,429.9,21.31,66.9,28.14,0.35,50.5,MEDIUM,0
Northern Boreal,49.2143,-122.9473,34.45,20.59,31.83,7.61,1035.11,0.3,94.6,19.5,129.5,33.77,28.3,41.48,0.22,62.7,HIGH,1
Pacific Coast Ridge,37.9844,-122.2811,31.07,19.83,71.43,22.35,997.15,0.65,85.7,73.6,144.2,33.11,64.7,80.0,0.35,58.9,MEDIUM,0
Pacific Coast Ridge,38.5258,-122.003,15.38,19.46,28.03,3.9,1015.23,0.0,81.9,36.2,298.8,15.39,55.5,12.94,0.35,31.3,MEDIUM,0
Sierra Foothills,38.5701,-120.991,19.1,19.52,28.5,20.48,1024.7,0.0,88.5,21.9,145.8,36.37,31.8,60.39,0.48,65.9,HIGH,1
Pacific Coast Ridge,37.3195,-122.3641,28.21,20.36,86.91,16.26,1010.76,0.0,70.8,48.4,159.2,13.33,55.0,10.43,0.35,31.8,MEDIUM,0
Sierra Foothills,38.6763,-120.803,38.92,20.8,38.72,10.72,995.28,0.25,99.4,62.3,815.6,40.0,104.6,80.0,0.48,78.6,HIGH,1
Cascades Valley,45.5944,-121.9151,38.07,21.05,48.85,2.58,992.98,0.0,89.7,101.0,804.8,21.59,150.0,64.99,0.18,61.3,HIGH,1
Sierra Foothills,38.5392,-120.6946,32.33,20.53,34.02,4.02,1014.78,0.0,99.5,68.7,295.4,37.59,86.9,80.0,0.48,69.1,HIGH,1
High Desert Plateau,34.3997,-117.2962,32.6,21.06,36.14,20.75,1006.85,0.0,96.4,66.7,120.8,40.0,56.0,80.0,0.28,72.3,HIGH,1
Northern Boreal,49.16,-123.1674,24.57,21.91,82.13,5.83,1006.39,0.0,63.1,24.3,426.0,6.45,42.6,4.05,0.22,14.2,LOW,0
Cascades Valley,45.2297,-121.7927,12.01,19.19,48.81,8.95,1000.03,0.0,70.7,21.6,320.5,10.63,36.9,5.35,0.18,24.8,LOW,0
Cascades Valley,45.4832,-121.902,24.46,20.94,61.21,15.28,1018.61,0.0,75.3,37.8,276.6,16.32,56.3,14.39,0.18,36.6,MEDIUM,0
High Desert Plateau,34.4038,-116.8069,32.88,20.5,51.39,4.42,1013.69,0.0,86.6,100.7,850.0,19.92,150.0,55.0,0.28,65.0,HIGH,1
Sierra Foothills,38.5994,-120.9365,13.38,21.5,16.69,13.3,1006.05,0.0,88.7,18.7,405.2,30.2,33.6,34.38,0.48,64.4,HIGH,1
Northern Boreal,49.4816,-123.4639,37.31,21.83,89.73,3.69,1030.79,0.13,68.4,44.0,553.4,7.72,73.4,7.94,0.22,27.8,LOW,0
Sierra Foothills,38.8238,-120.9617,16.25,22.23,32.22,16.54,1000.1,0.0,87.7,7.2,291.0,31.51,13.6,15.84,0.48,49.3,MEDIUM,0
Pacific Coast Ridge,37.5035,-122.3373,27.78,21.37,31.89,3.24,1029.38,2.2,79.2,56.1,203.5,13.09,66.4,12.3,0.35,31.1,MEDIUM,0
Sierra Foothills,38.3231,-120.9544,26.9,21.47,47.76,6.07,1007.09,0.0,86.0,29.1,458.9,20.71,50.2,19.92,0.48,46.4,MEDIUM,0
Cascades Valley,45.7607,-121.93,19.9,19.79,65.34,19.1,996.89,0.0,74.7,28.9,154.1,17.54,39.4,11.37,0.18,26.4,LOW,0
Northern Boreal,49.8078,-122.5276,39.43,22.89,98.0,20.04,1007.56,0.43,72.9,24.3,283.8,16.42,40.0,10.34,0.22,36.0,MEDIUM,0
Sierra Foothills,37.9628,-120.725,24.41,20.9,56.63,7.99,1006.46,0.0,78.2,75.2,232.5,14.94,83.2,18.53,0.48,46.9,MEDIUM,0
Northern Boreal,49.374,-122.7957,30.58,20.99,21.52,3.74,1013.94,1.32,89.7,74.2,199.7,22.64,76.9,37.0,0.22,64.2,HIGH,1
Northern Boreal,49.1484,-122.7395,20.12,20.97,44.96,17.39,1026.5,3.42,66.3,49.9,401.3,11.0,76.1,11.44,0.22,2.7,LOW,0
Pacific Coast Ridge,37.2248,-122.3459,36.06,19.94,23.08,14.02,998.19,0.0,99.5,53.2,644.4,40.0,88.2,80.0,0.35,86.0,CRITICAL,1
Pacific Coast Ridge,37.4627,-122.5849,40.98,20.58,69.62,6.55,1026.11,0.3,85.4,92.7,573.5,20.43,132.0,50.92,0.35,55.2,MEDIUM,0
Cascades Valley,45.5088,-121.8855,29.85,20.99,12.64,14.85,998.34,0.0,99.5,29.9,499.4,40.0,52.0,80.0,0.18,77.2,HIGH,1
